T2M,RH2M,PRECTOTCORR,WS2M,GWETTOP,GWETROOT,GWETPROF,Date
12.54,59.12,2.05,0.88,0.3,0.39,0.39,20140215
13.07,41.88,0.0,1.38,0.31,0.39,0.39,20140216
13.24,32.69,0.0,2.05,0.3,0.39,0.39,20140217
14.67,26.0,0.0,1.45,0.29,0.38,0.38,20140218
15.44,26.38,0.0,1.27,0.28,0.38,0.38,20140219
16.76,28.38,0.0,0.93,0.27,0.38,0.38,20140220
16.47,37.12,0.15,1.55,0.27,0.38,0.38,20140221
14.9,55.38,1.56,1.33,0.31,0.38,0.38,20140222
15.38,44.0,0.61,1.24,0.31,0.38,0.38,20140223
16.48,34.94,0.0,1.48,0.3,0.38,0.38,20140224
17.04,32.5,0.0,1.23,0.29,0.38,0.38,20140225
18.2,29.19,0.01,0.85,0.28,0.38,0.38,20140226
16.7,46.69,0.68,2.03,0.29,0.38,0.38,20140227
17.49,46.31,0.87,1.34,0.29,0.38,0.38,20140228
15.2,61.88,1.21,0.91,0.3,0.38,0.38,20140301
16.42,49.88,0.13,1.06,0.3,0.38,0.38,20140302
16.56,41.56,0.28,1.33,0.29,0.38,0.38,20140303
17.82,39.44,0.0,1.63,0.28,0.38,0.38,20140304
17.75,41.06,0.0,1.98,0.27,0.38,0.38,20140305
17.19,34.81,0.0,1.38,0.27,0.38,0.38,20140306
18.53,34.56,0.0,1.77,0.27,0.38,0.38,20140307
19.71,38.12,0.0,1.57,0.26,0.38,0.38,20140308
19.3,44.25,0.1,1.6,0.26,0.38,0.38,20140309
21.26,47.69,1.21,2.99,0.27,0.38,0.38,20140310
17.55,59.19,12.92,3.47,0.47,0.4,0.39,20140311
16.59,55.75,0.0,1.33,0.4,0.4,0.4,20140312
19.09,42.06,0.0,1.7,0.37,0.4,0.4,20140313
20.49,34.25,0.0,1.37,0.35,0.4,0.39,20140314
22.76,33.19,0.0,0.8,0.34,0.39,0.39,20140315
23.64,42.25,0.0,1.6,0.34,0.39,0.39,20140316
22.85,46.88,10.73,2.08,0.4,0.39,0.39,20140317
21.05,56.44,0.64,1.19,0.44,0.41,0.41,20140318
20.55,41.94,0.0,2.32,0.38,0.41,0.4,20140319
22.03,33.06,0.0,1.43,0.36,0.4,0.4,20140320
22.89,33.94,0.0,1.3,0.36,0.4,0.4,20140321
22.43,42.12,0.02,1.72,0.35,0.4,0.4,20140322
20.59,49.38,0.71,1.23,0.35,0.4,0.39,20140323
19.94,71.31,9.6,1.62,0.47,0.41,0.4,20140324
21.98,55.19,0.0,1.24,0.4,0.41,0.41,20140325
22.73,42.31,0.0,1.93,0.37,0.41,0.41,20140326
22.71,34.06,0.14,1.26,0.36,0.41,0.4,20140327
23.05,37.88,0.24,1.21,0.35,0.4,0.4,20140328
22.32,48.06,1.03,2.01,0.37,0.4,0.4,20140329
22.85,40.75,0.0,2.53,0.34,0.4,0.4,20140330
23.28,34.5,0.0,2.12,0.33,0.39,0.39,20140331
25.9,27.5,0.0,1.45,0.31,0.39,0.39,20140401
23.73,44.88,2.94,2.05,0.35,0.39,0.39,20140402
22.46,47.19,0.0,2.05,0.36,0.39,0.39,20140403
23.8,40.88,0.16,2.11,0.34,0.39,0.39,20140404
25.44,45.25,0.1,1.74,0.32,0.39,0.39,20140405
27.48,40.69,0.03,1.67,0.3,0.39,0.39,20140406
23.23,45.12,1.49,2.73,0.31,0.39,0.39,20140407
23.61,38.75,0.7,2.18,0.31,0.39,0.39,20140408
24.28,30.62,0.0,2.05,0.29,0.38,0.38,20140409
25.14,25.0,0.0,1.73,0.27,0.38,0.38,20140410
26.48,23.88,0.0,2.05,0.26,0.38,0.38,20140411
26.59,26.62,0.1,1.11,0.25,0.38,0.38,20140412
26.81,29.62,0.38,2.38,0.25,0.38,0.38,20140413
26.25,28.81,0.01,1.88,0.23,0.38,0.38,20140414
27.14,28.94,0.11,1.97,0.23,0.38,0.38,20140415
27.45,32.62,0.0,1.68,0.22,0.38,0.38,20140416
25.96,46.25,14.74,1.21,0.46,0.4,0.4,20140417
25.8,48.25,13.97,1.09,0.47,0.41,0.41,20140418
23.01,58.69,6.61,1.79,0.48,0.44,0.42,20140419
24.44,42.81,0.0,1.58,0.38,0.43,0.42,20140420
25.99,40.25,0.0,2.1,0.37,0.42,0.42,20140421
26.57,44.75,0.0,2.24,0.37,0.42,0.41,20140422
27.45,41.06,0.0,2.08,0.36,0.41,0.41,20140423
29.1,35.25,0.0,1.87,0.35,0.41,0.41,20140424
28.58,44.12,8.94,1.78,0.45,0.42,0.42,20140425
29.01,36.12,0.0,2.43,0.37,0.42,0.41,20140426
29.11,33.38,0.0,2.15,0.35,0.41,0.41,20140427
30.3,30.0,0.0,2.58,0.34,0.41,0.41,20140428
31.97,25.94,0.0,1.56,0.34,0.41,0.41,20140429
33.43,24.12,0.0,1.5,0.33,0.4,0.4,20140430
33.88,25.56,0.0,2.02,0.31,0.4,0.4,20140501
34.36,25.62,0.0,1.85,0.3,0.39,0.4,20140502
34.18,24.62,0.0,1.88,0.29,0.39,0.39,20140503
33.16,30.06,0.0,2.25,0.28,0.39,0.39,20140504
32.56,32.75,0.56,1.81,0.28,0.39,0.39,20140505
32.01,33.94,0.63,1.12,0.28,0.38,0.39,20140506
32.53,33.5,0.12,1.06,0.27,0.38,0.38,20140507
32.48,31.5,1.65,1.88,0.3,0.38,0.38,20140508
32.0,28.62,0.0,1.97,0.27,0.38,0.38,20140509
32.26,28.88,0.04,2.17,0.25,0.38,0.38,20140510
30.58,33.0,0.98,1.18,0.26,0.38,0.38,20140511
29.52,39.19,5.82,2.05,0.31,0.38,0.38,20140512
26.4,57.94,11.47,2.15,0.48,0.4,0.4,20140513
27.14,47.12,0.16,1.98,0.39,0.41,0.4,20140514
28.91,37.5,0.0,2.4,0.35,0.4,0.4,20140515
29.89,40.0,1.34,2.7,0.36,0.4,0.39,20140516
29.93,43.06,2.14,2.29,0.37,0.4,0.39,20140517
30.01,40.88,0.38,2.34,0.34,0.39,0.39,20140518
30.84,36.56,0.0,2.29,0.31,0.39,0.39,20140519
31.33,33.56,0.06,2.45,0.3,0.38,0.38,20140520
32.12,30.06,0.01,2.5,0.28,0.38,0.38,20140521
33.91,25.88,0.0,1.91,0.27,0.38,0.38,20140522
34.72,22.06,0.2,1.34,0.25,0.38,0.38,20140523
33.02,15.0,0.07,1.15,0.23,0.38,0.38,20140524
33.55,18.44,0.0,2.02,0.22,0.38,0.38,20140525
34.07,20.94,0.0,1.12,0.2,0.38,0.38,20140526
35.24,20.06,0.0,1.59,0.19,0.38,0.38,20140527
36.84,19.19,0.0,1.82,0.17,0.37,0.38,20140528
38.19,16.56,0.0,1.46,0.16,0.37,0.38,20140529
37.03,17.75,0.47,1.81,0.16,0.37,0.38,20140530
36.81,19.25,0.05,1.91,0.16,0.37,0.38,20140531
36.62,21.81,0.4,2.16,0.16,0.37,0.38,20140601
35.69,21.5,0.0,2.06,0.15,0.37,0.38,20140602
36.44,19.62,0.0,2.82,0.14,0.37,0.38,20140603
37.75,16.62,0.0,1.52,0.13,0.37,0.38,20140604
39.11,16.12,0.0,2.33,0.12,0.37,0.37,20140605
39.6,13.62,0.0,3.2,0.12,0.37,0.37,20140606
39.08,12.88,0.0,2.64,0.12,0.37,0.37,20140607
39.44,11.94,0.0,2.08,0.11,0.37,0.37,20140608
39.16,10.94,0.0,2.52,0.1,0.37,0.37,20140609
39.05,9.19,0.0,2.17,0.1,0.37,0.37,20140610
38.93,13.06,0.0,2.89,0.09,0.37,0.37,20140611
38.62,20.06,0.0,2.5,0.09,0.37,0.37,20140612
38.82,22.69,0.0,3.3,0.09,0.37,0.37,20140613
39.15,25.0,0.0,3.24,0.09,0.37,0.37,20140614
39.98,24.31,0.0,2.77,0.09,0.37,0.37,20140615
40.51,22.69,0.0,2.83,0.09,0.37,0.37,20140616
41.4,22.44,0.0,2.88,0.09,0.37,0.37,20140617
41.1,22.19,0.04,1.83,0.09,0.37,0.37,20140618
40.49,19.88,0.0,1.97,0.09,0.37,0.37,20140619
40.67,20.69,0.0,2.56,0.09,0.37,0.37,20140620
40.36,20.88,0.31,2.04,0.09,0.37,0.37,20140621
37.75,26.75,4.63,1.12,0.23,0.38,0.38,20140622
37.13,25.12,0.08,1.16,0.23,0.38,0.38,20140623
36.44,31.19,3.48,1.48,0.3,0.38,0.38,20140624
35.18,46.56,9.51,2.01,0.41,0.38,0.38,20140625
34.73,46.31,4.6,1.01,0.42,0.39,0.39,20140626
36.12,37.94,0.0,1.95,0.34,0.39,0.38,20140627
37.42,38.62,3.45,2.28,0.34,0.38,0.38,20140628
34.65,51.88,24.2,1.47,0.49,0.42,0.41,20140629
35.69,45.81,4.05,1.95,0.4,0.42,0.42,20140630
34.93,49.62,5.85,1.02,0.44,0.43,0.42,20140701
34.98,45.62,0.67,1.31,0.38,0.42,0.42,20140702
34.75,43.88,0.28,1.07,0.36,0.42,0.41,20140703
35.62,39.94,0.11,1.56,0.35,0.41,0.41,20140704
36.17,38.56,0.0,1.58,0.34,0.41,0.41,20140705
35.76,38.94,0.5,2.07,0.34,0.41,0.41,20140706
36.02,36.94,0.11,1.72,0.34,0.41,0.41,20140707
36.98,33.44,0.0,1.24,0.33,0.4,0.4,20140708
37.92,31.44,0.0,1.58,0.31,0.4,0.4,20140709
37.65,30.75,0.2,1.81,0.3,0.39,0.39,20140710
38.27,26.12,0.0,2.12,0.28,0.39,0.39,20140711
38.54,26.81,0.0,1.43,0.27,0.38,0.39,20140712
38.96,26.88,0.0,1.2,0.25,0.38,0.38,20140713
38.63,26.44,0.0,1.51,0.23,0.38,0.38,20140714
38.63,25.88,0.16,1.3,0.23,0.38,0.38,20140715
35.44,42.38,12.06,3.05,0.38,0.39,0.39,20140716
33.0,61.06,17.17,1.59,0.49,0.41,0.41,20140717
33.4,57.25,5.75,1.18,0.44,0.42,0.41,20140718
34.62,45.31,1.56,1.33,0.38,0.42,0.41,20140719
34.83,40.69,0.16,0.96,0.36,0.41,0.41,20140720
35.37,37.19,0.0,1.19,0.34,0.41,0.41,20140721
36.74,34.44,0.0,1.33,0.32,0.41,0.41,20140722
35.3,42.5,7.55,1.88,0.41,0.41,0.41,20140723
33.3,56.5,6.97,2.09,0.44,0.42,0.41,20140724
33.76,51.31,0.0,2.27,0.38,0.41,0.41,20140725
34.65,45.19,0.0,1.62,0.35,0.41,0.41,20140726
34.4,49.69,6.23,1.35,0.4,0.41,0.41,20140727
33.49,59.12,8.28,2.14,0.45,0.42,0.41,20140728
32.4,65.12,9.59,1.9,0.49,0.43,0.42,20140729
32.79,57.75,0.38,1.45,0.4,0.43,0.42,20140730
33.17,57.0,12.83,1.59,0.47,0.44,0.43,20140731
33.11,59.19,8.09,1.0,0.48,0.45,0.45,20140801
34.55,51.81,0.36,1.29,0.41,0.45,0.44,20140802
35.33,48.19,0.43,1.53,0.38,0.45,0.44,20140803
36.16,44.62,0.03,1.67,0.38,0.44,0.43,20140804
36.08,43.0,0.31,1.41,0.37,0.43,0.43,20140805
35.58,44.12,0.47,1.45,0.37,0.43,0.42,20140806
35.42,44.19,0.35,1.59,0.36,0.42,0.42,20140807
33.8,51.06,7.35,1.4,0.42,0.42,0.42,20140808
33.67,54.19,2.42,0.8,0.42,0.43,0.42,20140809
34.91,49.5,0.0,1.13,0.38,0.42,0.42,20140810
35.94,43.19,0.1,0.73,0.36,0.42,0.42,20140811
36.23,41.56,0.09,1.22,0.34,0.41,0.41,20140812
36.23,39.88,0.0,2.13,0.34,0.41,0.41,20140813
36.66,38.31,0.0,1.74,0.32,0.41,0.41,20140814
35.59,40.0,4.5,2.34,0.35,0.41,0.41,20140815
31.94,53.38,9.63,1.71,0.46,0.42,0.41,20140816
31.36,51.88,0.0,1.84,0.38,0.42,0.41,20140817
32.33,45.5,0.0,1.59,0.36,0.41,0.41,20140818
33.68,38.25,0.0,1.3,0.34,0.41,0.41,20140819
35.52,32.62,0.0,1.2,0.33,0.41,0.41,20140820
35.11,30.62,0.0,1.8,0.31,0.41,0.4,20140821
34.87,29.0,0.34,1.6,0.3,0.4,0.4,20140822
33.99,35.0,0.78,1.47,0.3,0.4,0.4,20140823
34.12,36.62,0.0,1.45,0.29,0.4,0.4,20140824
34.63,33.19,0.0,1.21,0.27,0.39,0.39,20140825
34.79,35.44,0.79,1.34,0.27,0.39,0.39,20140826
34.7,36.88,0.16,1.35,0.27,0.39,0.39,20140827
33.8,39.31,0.16,1.3,0.26,0.39,0.39,20140828
33.73,37.88,0.0,1.08,0.25,0.38,0.39,20140829
34.65,33.88,0.01,0.93,0.24,0.38,0.38,20140830
35.25,31.56,0.0,0.89,0.23,0.38,0.38,20140831
31.0,50.0,20.38,0.88,0.45,0.41,0.4,20140901
29.24,58.5,3.67,1.34,0.44,0.42,0.41,20140902
27.68,73.06,21.62,2.09,0.52,0.43,0.42,20140903
26.41,91.94,136.58,2.25,0.89,0.58,0.54,20140904
26.92,91.31,60.52,2.38,0.88,0.71,0.66,20140905
26.72,86.94,29.37,2.79,0.84,0.77,0.71,20140906
27.51,77.25,0.0,0.94,0.76,0.75,0.71,20140907
28.27,72.75,0.0,0.58,0.75,0.73,0.7,20140908
28.12,72.88,0.0,0.53,0.74,0.73,0.7,20140909
28.85,74.25,0.0,0.88,0.73,0.72,0.69,20140910
28.46,74.44,1.92,0.88,0.73,0.7,0.68,20140911
27.19,78.94,9.55,1.43,0.75,0.7,0.68,20140912
27.83,77.62,4.58,1.06,0.74,0.71,0.68,20140913
27.3,78.62,35.42,0.84,0.8,0.73,0.7,20140914
27.02,78.88,2.0,0.93,0.76,0.74,0.7,20140915
27.34,73.06,0.0,0.91,0.74,0.73,0.7,20140916
27.44,70.06,0.0,0.76,0.73,0.72,0.69,20140917
27.58,70.62,0.0,0.79,0.72,0.71,0.68,20140918
27.22,73.38,0.0,0.88,0.71,0.7,0.67,20140919
28.4,65.19,0.0,0.86,0.7,0.7,0.66,20140920
26.51,65.5,0.86,0.88,0.7,0.69,0.66,20140921
27.39,65.69,0.0,0.7,0.69,0.67,0.65,20140922
27.58,67.12,0.0,1.04,0.67,0.66,0.64,20140923
26.13,65.81,0.0,1.46,0.66,0.66,0.63,20140924
26.27,62.62,0.0,1.13,0.65,0.65,0.62,20140925
27.08,64.0,0.0,0.9,0.64,0.64,0.62,20140926
26.89,66.75,0.0,1.11,0.63,0.63,0.61,20140927
27.13,66.0,0.0,1.12,0.62,0.62,0.6,20140928
26.64,64.44,0.0,0.97,0.61,0.62,0.59,20140929
26.83,62.38,0.0,0.99,0.6,0.61,0.59,20140930
26.63,67.44,0.0,1.19,0.59,0.6,0.59,20141001
27.78,65.56,0.0,0.82,0.58,0.59,0.58,20141002
28.41,61.06,0.0,0.99,0.57,0.59,0.57,20141003
28.19,59.75,0.0,1.01,0.56,0.58,0.56,20141004
27.99,62.56,0.0,0.99,0.55,0.58,0.56,20141005
28.37,61.5,0.0,0.83,0.55,0.57,0.55,20141006
27.55,64.31,2.07,1.02,0.55,0.56,0.55,20141007
25.21,71.81,1.57,1.39,0.55,0.56,0.55,20141008
24.23,62.81,0.09,1.54,0.54,0.56,0.55,20141009
25.45,55.5,0.0,1.37,0.52,0.55,0.54,20141010
26.04,49.5,0.0,0.98,0.52,0.55,0.53,20141011
26.3,43.5,0.0,0.83,0.52,0.55,0.53,20141012
24.08,51.0,0.0,1.18,0.51,0.54,0.52,20141013
20.98,60.75,0.53,1.63,0.51,0.53,0.52,20141014
21.23,61.31,0.02,1.17,0.5,0.53,0.52,20141015
21.88,56.44,0.0,1.09,0.49,0.52,0.52,20141016
23.44,48.31,0.0,0.86,0.48,0.52,0.51,20141017
22.76,48.88,0.0,1.4,0.48,0.52,0.51,20141018
22.57,46.56,0.0,1.48,0.48,0.52,0.51,20141019
22.9,52.44,0.0,1.64,0.47,0.51,0.5,20141020
24.77,49.06,0.0,0.92,0.47,0.51,0.5,20141021
25.56,43.0,0.0,0.68,0.46,0.51,0.49,20141022
25.52,45.31,0.0,0.62,0.46,0.5,0.49,20141023
24.3,53.69,0.0,0.88,0.45,0.5,0.48,20141024
24.1,55.38,0.0,1.16,0.45,0.49,0.48,20141025
24.32,51.19,0.0,0.7,0.45,0.49,0.48,20141026
23.67,51.31,0.0,0.92,0.45,0.49,0.48,20141027
23.62,50.62,1.51,0.73,0.47,0.49,0.48,20141028
21.92,55.88,0.92,1.22,0.46,0.49,0.48,20141029
21.36,53.5,0.0,1.5,0.45,0.48,0.48,20141030
20.72,49.69,0.0,1.66,0.44,0.48,0.48,20141031
20.69,47.25,0.0,1.61,0.44,0.48,0.47,20141101
21.86,45.88,0.0,1.49,0.43,0.48,0.47,20141102
22.01,50.5,0.02,1.36,0.43,0.48,0.47,20141103
20.88,60.06,0.0,1.65,0.43,0.47,0.46,20141104
21.16,57.81,0.0,1.91,0.43,0.47,0.46,20141105
21.97,53.88,0.0,1.41,0.42,0.47,0.46,20141106
22.5,59.69,10.53,0.99,0.52,0.48,0.48,20141107
20.74,59.75,0.47,1.96,0.45,0.48,0.48,20141108
17.88,41.75,0.0,2.05,0.44,0.48,0.47,20141109
17.66,42.75,0.0,1.65,0.43,0.48,0.47,20141110
18.48,37.75,0.0,1.38,0.43,0.48,0.47,20141111
17.75,38.25,0.0,1.38,0.43,0.47,0.46,20141112
16.8,40.0,0.0,1.72,0.42,0.47,0.46,20141113
16.63,42.06,0.0,1.85,0.42,0.47,0.46,20141114
17.44,41.81,0.0,1.73,0.42,0.46,0.46,20141115
18.15,37.19,0.0,1.47,0.42,0.46,0.45,20141116
17.98,38.0,0.0,1.44,0.42,0.46,0.45,20141117
17.78,37.0,0.0,1.35,0.41,0.46,0.45,20141118
17.69,36.62,0.0,1.1,0.41,0.45,0.45,20141119
16.71,41.69,0.0,1.54,0.41,0.45,0.45,20141120
16.87,39.25,0.0,1.3,0.41,0.45,0.45,20141121
16.38,41.12,0.0,1.42,0.41,0.45,0.45,20141122
16.47,39.62,0.0,1.58,0.41,0.45,0.45,20141123
15.7,43.19,0.0,1.68,0.41,0.45,0.45,20141124
16.38,40.56,0.0,1.49,0.41,0.45,0.45,20141125
16.91,41.0,0.0,1.71,0.41,0.45,0.44,20141126
18.44,35.81,0.0,1.16,0.41,0.45,0.44,20141127
17.94,45.12,0.0,1.09,0.41,0.45,0.44,20141128
18.47,47.38,0.0,1.3,0.41,0.45,0.44,20141129
17.33,46.12,0.0,1.53,0.4,0.44,0.44,20141130
17.05,46.31,0.0,1.99,0.4,0.44,0.43,20141201
16.87,48.12,0.0,2.02,0.4,0.44,0.43,20141202
17.61,44.06,0.0,1.72,0.4,0.44,0.43,20141203
18.79,39.31,0.0,1.16,0.4,0.43,0.43,20141204
17.81,40.81,0.0,1.09,0.4,0.43,0.43,20141205
16.31,42.25,0.0,1.94,0.39,0.43,0.43,20141206
16.25,39.06,0.0,1.72,0.38,0.43,0.42,20141207
17.3,34.12,0.0,1.05,0.38,0.43,0.42,20141208
14.84,32.44,0.0,1.7,0.38,0.43,0.42,20141209
13.09,33.88,0.0,1.82,0.38,0.42,0.42,20141210
12.66,34.25,0.0,1.72,0.37,0.42,0.42,20141211
13.81,30.5,0.0,1.3,0.37,0.42,0.42,20141212
12.18,49.06,0.23,1.68,0.37,0.42,0.41,20141213
12.96,68.5,0.27,1.37,0.37,0.42,0.41,20141214
13.14,52.19,0.17,1.03,0.37,0.42,0.41,20141215
11.2,42.0,0.0,1.66,0.36,0.42,0.41,20141216
10.7,38.25,0.0,1.38,0.36,0.42,0.41,20141217
10.76,37.5,0.0,0.87,0.36,0.42,0.41,20141218
10.66,38.44,0.0,1.0,0.36,0.42,0.41,20141219
9.9,41.62,0.0,1.52,0.35,0.41,0.41,20141220
12.19,34.81,0.0,0.99,0.35,0.41,0.41,20141221
12.36,30.25,0.0,0.62,0.34,0.41,0.41,20141222
10.91,36.19,0.0,0.94,0.34,0.41,0.41,20141223
11.73,36.69,0.0,1.31,0.34,0.41,0.41,20141224
11.9,40.5,0.0,1.78,0.34,0.41,0.41,20141225
12.3,36.94,0.0,2.62,0.34,0.41,0.41,20141226
12.2,30.38,0.0,1.41,0.33,0.41,0.41,20141227
12.37,25.88,0.0,0.88,0.33,0.41,0.41,20141228
11.54,28.75,0.0,1.03,0.33,0.41,0.41,20141229
11.1,31.44,0.0,0.84,0.33,0.41,0.41,20141230
12.88,28.69,0.0,0.83,0.33,0.41,0.41,20141231
12.35,35.19,0.0,1.62,0.32,0.41,0.41,20150101
13.94,36.44,0.0,1.3,0.32,0.41,0.41,20150102
13.88,40.88,0.09,0.93,0.32,0.41,0.41,20150103
12.55,36.62,0.03,1.16,0.32,0.41,0.41,20150104
11.44,40.06,0.0,1.82,0.32,0.41,0.41,20150105
12.62,41.31,0.0,1.81,0.31,0.41,0.41,20150106
12.65,43.31,0.0,1.52,0.31,0.41,0.41,20150107
12.85,36.19,0.0,1.15,0.31,0.41,0.41,20150108
12.9,30.06,0.0,0.94,0.31,0.41,0.41,20150109
11.09,29.69,0.0,1.62,0.3,0.41,0.4,20150110
12.46,26.44,0.0,1.73,0.3,0.4,0.4,20150111
14.63,26.75,0.0,1.05,0.3,0.4,0.4,20150112
12.2,45.56,3.47,1.3,0.32,0.4,0.4,20150113
12.46,74.81,6.21,1.31,0.47,0.41,0.41,20150114
12.34,72.44,0.0,1.1,0.41,0.42,0.41,20150115
12.23,54.06,0.0,1.62,0.39,0.41,0.41,20150116
12.37,44.69,0.0,1.7,0.38,0.41,0.41,20150117
12.49,39.94,0.0,1.73,0.38,0.41,0.41,20150118
14.03,35.44,0.0,1.1,0.38,0.41,0.41,20150119
13.14,41.31,0.0,0.86,0.38,0.41,0.41,20150120
10.09,67.19,11.07,2.05,0.47,0.42,0.41,20150121
11.33,83.75,0.49,1.2,0.45,0.43,0.42,20150122
11.76,74.94,0.08,0.84,0.41,0.43,0.42,20150123
12.04,60.56,0.0,1.29,0.4,0.43,0.42,20150124
11.85,52.88,0.0,1.4,0.4,0.43,0.42,20150125
11.46,50.0,0.0,0.98,0.4,0.43,0.42,20150126
9.95,53.94,0.0,1.38,0.4,0.42,0.42,20150127
10.29,48.5,0.0,1.79,0.39,0.42,0.42,20150128
11.68,42.75,0.0,1.41,0.39,0.42,0.42,20150129
11.28,42.12,0.0,1.96,0.39,0.42,0.41,20150130
13.15,39.12,0.0,1.47,0.38,0.42,0.41,20150131
13.79,41.88,0.0,1.48,0.38,0.42,0.41,20150201
14.19,61.69,1.86,1.61,0.39,0.41,0.41,20150202
13.71,82.81,16.75,1.27,0.55,0.45,0.44,20150203
13.2,65.88,0.01,1.91,0.43,0.45,0.44,20150204
13.26,50.56,0.0,1.53,0.41,0.45,0.44,20150205
14.31,41.56,0.0,0.86,0.41,0.45,0.44,20150206
14.22,45.69,0.0,1.35,0.41,0.45,0.44,20150207
14.95,60.06,0.0,2.05,0.41,0.44,0.44,20150208
14.62,50.31,0.0,1.6,0.4,0.44,0.44,20150209
15.19,41.0,0.0,1.34,0.4,0.44,0.43,20150210
16.18,38.62,0.0,1.57,0.4,0.44,0.43,20150211
15.17,35.88,0.0,1.58,0.39,0.43,0.43,20150212
17.27,38.0,0.0,1.3,0.39,0.43,0.43,20150213
19.58,40.81,0.0,1.41,0.39,0.43,0.42,20150214
18.29,43.81,0.0,0.95,0.39,0.43,0.42,20150215
18.32,49.62,1.26,2.32,0.41,0.43,0.42,20150216
17.78,56.0,7.24,0.94,0.48,0.44,0.43,20150217
18.43,49.38,0.11,1.13,0.41,0.44,0.43,20150218
17.98,63.69,5.78,1.58,0.45,0.44,0.43,20150219
15.56,83.56,7.25,1.95,0.5,0.45,0.45,20150220
18.54,61.0,0.0,1.95,0.44,0.45,0.45,20150221
19.45,57.5,0.0,2.23,0.41,0.45,0.45,20150222
19.71,55.56,0.0,0.98,0.41,0.45,0.45,20150223
19.14,61.88,4.49,1.65,0.44,0.45,0.45,20150224
17.04,55.5,3.74,3.02,0.47,0.46,0.45,20150225
14.06,41.69,0.01,1.2,0.42,0.46,0.45,20150226
14.23,47.44,0.0,1.23,0.41,0.45,0.45,20150227
15.16,43.19,0.01,1.17,0.41,0.45,0.45,20150228
14.15,81.0,32.59,2.12,0.57,0.47,0.46,20150301
15.37,78.81,13.84,2.29,0.61,0.53,0.52,20150302
14.75,68.12,0.55,0.95,0.51,0.53,0.52,20150303
15.73,57.94,0.74,1.2,0.5,0.52,0.51,20150304
14.52,73.94,4.11,1.61,0.53,0.52,0.52,20150305
15.78,63.56,0.0,1.37,0.49,0.52,0.51,20150306
13.86,72.75,3.61,1.23,0.51,0.52,0.51,20150307
14.42,76.5,1.4,2.13,0.51,0.52,0.51,20150308
13.48,66.88,0.07,1.23,0.49,0.52,0.51,20150309
15.3,52.75,0.0,1.73,0.48,0.52,0.51,20150310
